[train: 1, 50 / 937] FPS: 95.8 (478.4)  ,  DataTime: 0.251 (0.006)  ,  ForwardTime: 0.078  ,  TotalTime: 0.334  ,  Loss/total: 104.46440  ,  Loss/giou: 1.21242  ,  Loss/l1: 0.26339  ,  Loss/location: 100.62327  ,  pro_loss: 0.49685  ,  IoU: 0.08788
[train: 1, 100 / 937] FPS: 99.4 (486.6)  ,  DataTime: 0.248 (0.006)  ,  ForwardTime: 0.068  ,  TotalTime: 0.322  ,  Loss/total: 76.86334  ,  Loss/giou: 1.17889  ,  Loss/l1: 0.26670  ,  Loss/location: 73.07353  ,  pro_loss: 0.49257  ,  IoU: 0.08471
[train: 1, 150 / 937] FPS: 98.7 (32.7)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.065  ,  TotalTime: 0.324  ,  Loss/total: 64.16487  ,  Loss/giou: 1.15857  ,  Loss/l1: 0.25856  ,  Loss/location: 60.45774  ,  pro_loss: 0.48584  ,  IoU: 0.08846
[train: 1, 200 / 937] FPS: 100.1 (472.3)  ,  DataTime: 0.251 (0.006)  ,  ForwardTime: 0.063  ,  TotalTime: 0.320  ,  Loss/total: 55.68818  ,  Loss/giou: 1.14048  ,  Loss/l1: 0.25289  ,  Loss/location: 52.04708  ,  pro_loss: 0.47855  ,  IoU: 0.09167
[train: 1, 250 / 937] FPS: 99.4 (30.8)  ,  DataTime: 0.254 (0.006)  ,  ForwardTime: 0.062  ,  TotalTime: 0.322  ,  Loss/total: 49.26166  ,  Loss/giou: 1.12056  ,  Loss/l1: 0.24625  ,  Loss/location: 45.69520  ,  pro_loss: 0.47049  ,  IoU: 0.09594
[train: 1, 300 / 937] FPS: 100.4 (483.5)  ,  DataTime: 0.252 (0.006)  ,  ForwardTime: 0.061  ,  TotalTime: 0.319  ,  Loss/total: 44.67044  ,  Loss/giou: 1.10663  ,  Loss/l1: 0.24080  ,  Loss/location: 41.16198  ,  pro_loss: 0.45613  ,  IoU: 0.09919
[train: 1, 350 / 937] FPS: 100.2 (53.4)  ,  DataTime: 0.253 (0.006)  ,  ForwardTime: 0.061  ,  TotalTime: 0.319  ,  Loss/total: 40.69896  ,  Loss/giou: 1.09770  ,  Loss/l1: 0.23679  ,  Loss/location: 37.23289  ,  pro_loss: 0.43374  ,  IoU: 0.10300
[train: 1, 400 / 937] FPS: 100.6 (472.4)  ,  DataTime: 0.252 (0.006)  ,  ForwardTime: 0.060  ,  TotalTime: 0.318  ,  Loss/total: 37.36298  ,  Loss/giou: 1.08647  ,  Loss/l1: 0.23255  ,  Loss/location: 33.94551  ,  pro_loss: 0.40881  ,  IoU: 0.10766
[train: 1, 450 / 937] FPS: 100.8 (77.7)  ,  DataTime: 0.252 (0.006)  ,  ForwardTime: 0.060  ,  TotalTime: 0.318  ,  Loss/total: 34.57436  ,  Loss/giou: 1.07695  ,  Loss/l1: 0.22816  ,  Loss/location: 31.20272  ,  pro_loss: 0.38465  ,  IoU: 0.11375
[train: 1, 500 / 937] FPS: 101.1 (492.3)  ,  DataTime: 0.251 (0.006)  ,  ForwardTime: 0.060  ,  TotalTime: 0.317  ,  Loss/total: 32.07230  ,  Loss/giou: 1.06485  ,  Loss/l1: 0.22303  ,  Loss/location: 28.75496  ,  pro_loss: 0.36250  ,  IoU: 0.12157
[train: 1, 550 / 937] FPS: 101.4 (474.5)  ,  DataTime: 0.251 (0.006)  ,  ForwardTime: 0.059  ,  TotalTime: 0.316  ,  Loss/total: 30.00378  ,  Loss/giou: 1.05068  ,  Loss/l1: 0.21729  ,  Loss/location: 26.74741  ,  pro_loss: 0.34283  ,  IoU: 0.13135
