[train: Epoch 1, 50 / 625] FPS: 108.4 (118.8)  ,  DataTime: 0.018 (0.006)  ,  ForwardTime: 0.271  ,  TotalTime: 0.295  ,  Loss/total: 31.25202  ,  Loss/giou: 1.26799  ,  Loss/l1: 0.28182  ,  Loss/location: 27.21179  ,  pro_loss: 0.47580  ,  IoU: 0.06057
[train: Epoch 1, 100 / 625] FPS: 113.4 (118.3)  ,  DataTime: 0.012 (0.006)  ,  ForwardTime: 0.265  ,  TotalTime: 0.282  ,  Loss/total: 23.93594  ,  Loss/giou: 1.22105  ,  Loss/l1: 0.26914  ,  Loss/location: 20.05879  ,  pro_loss: 0.44672  ,  IoU: 0.07004
[train: Epoch 1, 150 / 625] FPS: 115.1 (118.9)  ,  DataTime: 0.009 (0.006)  ,  ForwardTime: 0.263  ,  TotalTime: 0.278  ,  Loss/total: 19.85617  ,  Loss/giou: 1.19134  ,  Loss/l1: 0.26455  ,  Loss/location: 16.06669  ,  pro_loss: 0.42010  ,  IoU: 0.07446
[train: Epoch 1, 200 / 625] FPS: 116.0 (119.3)  ,  DataTime: 0.008 (0.006)  ,  ForwardTime: 0.262  ,  TotalTime: 0.276  ,  Loss/total: 17.28725  ,  Loss/giou: 1.16568  ,  Loss/l1: 0.25804  ,  Loss/location: 13.58674  ,  pro_loss: 0.39466  ,  IoU: 0.07988
[train: Epoch 1, 250 / 625] FPS: 116.5 (119.0)  ,  DataTime: 0.008 (0.006)  ,  ForwardTime: 0.261  ,  TotalTime: 0.275  ,  Loss/total: 15.51881  ,  Loss/giou: 1.14786  ,  Loss/l1: 0.25346  ,  Loss/location: 11.88082  ,  pro_loss: 0.37477  ,  IoU: 0.08298
[train: Epoch 1, 300 / 625] FPS: 116.8 (118.0)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.261  ,  TotalTime: 0.274  ,  Loss/total: 14.23360  ,  Loss/giou: 1.13255  ,  Loss/l1: 0.24898  ,  Loss/location: 10.65262  ,  pro_loss: 0.35501  ,  IoU: 0.08722
[train: Epoch 1, 350 / 625] FPS: 117.1 (119.3)  ,  DataTime: 0.007 (0.006)  ,  ForwardTime: 0.261  ,  TotalTime: 0.273  ,  Loss/total: 13.13290  ,  Loss/giou: 1.11567  ,  Loss/l1: 0.24200  ,  Loss/location: 9.62451  ,  pro_loss: 0.33521  ,  IoU: 0.09404
[train: Epoch 1, 400 / 625] FPS: 117.3 (119.2)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.261  ,  TotalTime: 0.273  ,  Loss/total: 12.37333  ,  Loss/giou: 1.10435  ,  Loss/l1: 0.23608  ,  Loss/location: 8.92085  ,  pro_loss: 0.31697  ,  IoU: 0.10008
[train: Epoch 1, 450 / 625] FPS: 117.5 (118.1)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.260  ,  TotalTime: 0.272  ,  Loss/total: 11.68175  ,  Loss/giou: 1.09440  ,  Loss/l1: 0.23082  ,  Loss/location: 8.27990  ,  pro_loss: 0.29474  ,  IoU: 0.10612
[train: Epoch 1, 500 / 625] FPS: 117.6 (118.9)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.260  ,  TotalTime: 0.272  ,  Loss/total: 11.06427  ,  Loss/giou: 1.08071  ,  Loss/l1: 0.22412  ,  Loss/location: 7.72775  ,  pro_loss: 0.27243  ,  IoU: 0.11602
[train: Epoch 1, 550 / 625] FPS: 117.7 (118.9)  ,  DataTime: 0.006 (0.006)  ,  ForwardTime: 0.260  ,  TotalTime: 0.272  ,  Loss/total: 10.53062  ,  Loss/giou: 1.06890  ,  Loss/l1: 0.21803  ,  Loss/location: 7.25192  ,  pro_loss: 0.25384  ,  IoU: 0.12547
